Date,Open,High,Low,Close,Volume,CL=F,EURUSD=X,GBPUSD=X,GC=F,SI=F,USDJPY=X,^DJI,^FTSE,^GSPC,^IXIC,^N225,^RUT,^TNX,F,GM,MGM,SBUX,TSLA
2010-01-04,9.63537637765871,9.74099257236116,9.594755047527213,9.708495140075684,21727400.60428754,81.51000213623047,1.4423978328704834,1.6113698482513428,1117.699951171875,17.440000534057617,92.49500274658203,10583.9599609375,5500.2998046875,1132.989990234375,2308.419921875,10654.7900390625,640.0999755859375,3.8410000801086426,7.0746541023254395,,9.194010734558105,9.554001808166504,
2010-01-05,9.663810345466029,9.708494542219547,9.546008311248883,9.606941223144531,25753615.928228363,81.7699966430664,1.4365959167480469,1.599078893661499,1118.0999755859375,17.7810001373291,91.58499908447266,10572.01953125,5522.5,1136.52001953125,2308.7099609375,10681.830078125,638.489990234375,3.755000114440918,7.542628765106201,,9.921595573425293,9.777823448181152,
2010-01-06,9.598816203032607,9.667873010818482,9.521636418522837,9.546008110046387,25449991.6928245,83.18000030517578,1.4404033422470093,1.602384328842163,1135.9000244140625,18.163000106811523,92.35600280761719,10573.6796875,5530.0,1137.1400146484375,2301.090087890625,10731.4501953125,637.9500122070312,3.808000087738037,7.824788570404053,,9.581425666809082,9.707359313964844,
2010-01-07,9.54194698013401,9.54194698013401,9.411959104024486,9.436330795288086,24341446.403376557,82.66000366210938,1.4318032264709473,1.5933969020843506,1133.0999755859375,18.33300018310547,93.38999938964844,10606.8603515625,5526.7001953125,1141.68994140625,2300.050048828125,10681.66015625,641.969970703125,3.822000026702881,8.024368286132812,,10.205071449279785,9.6824951171875,
2010-01-08,9.42008194739076,9.60287789547586,9.383522573683637,9.550069808959961,29422085.11203102,82.75,1.44110906124115,1.602410078048706,1138.199951171875,18.45800018310547,92.66000366210938,10618.1904296875,5534.2001953125,1144.97998046875,2317.169921875,10798.3203125,644.5599975585938,3.808000087738037,8.045013427734375,,10.01608657836914,9.649334907531738,
2010-01-11,9.5581970493367,9.647563611770593,9.444456951283797,9.525699615478516,17692470.098347165,82.5199966430664,1.4511260986328125,1.6112918853759766,1150.699951171875,18.683000564575195,92.09200286865234,10663.990234375,5538.10009765625,1146.97998046875,2312.409912109375,,643.989990234375,3.818000078201294,8.334053993225098,,10.299560546875,9.620316505432129,
2010-01-12,9.501324737128163,9.521635398338914,9.32665268253549,9.420082092285156,24681299.908756986,80.79000091552734,1.447659969329834,1.615169644355774,1128.9000244140625,18.243000030517578,91.08000183105469,10627.259765625,5498.7001953125,1136.219970703125,2282.31005859375,10879.1396484375,635.5,3.7190001010894775,8.1688871383667,,11.291718482971191,9.458667755126953,
2010-01-13,9.47695360181098,9.598816667579552,9.38758612631314,9.586630821228027,23762866.7171787,79.6500015258789,1.4523905515670776,1.628611445426941,1136.4000244140625,18.538000106811523,91.43299865722656,10680.76953125,5473.5,1145.6800537109375,2307.89990234375,10735.0302734375,643.5599975585938,3.7829999923706055,8.038130760192871,,11.707483291625977,9.690780639648438,
2010-01-14,9.54600894116673,9.54600894116673,9.281971214599126,9.294157981872559,40627711.06586419,79.38999938964844,1.4499897956848145,1.6333998441696167,1142.5999755859375,18.64299964904785,91.26699829101562,10710.5498046875,5498.2001953125,1148.4599609375,2316.739990234375,10907.6796875,646.4299926757812,3.7339999675750732,8.093184471130371,,11.69803524017334,9.761244773864746,
2010-01-15,9.338838792861345,9.367273348383145,8.985432760295,9.127608299255371,62017761.42441646,78.0,1.4390974044799805,1.6269950866699219,1130.0999755859375,18.410999298095703,90.75,10609.650390625,5455.39990234375,1136.030029296875,2287.989990234375,10982.099609375,637.9600219726562,3.6760001182556152,7.98307466506958,,11.4240083694458,9.64518928527832,
